Month	Dt
1970-1	589
1970-2	561
1970-3	640
1970-4	656
1970-5	727
1970-6	697
1970-7	640
1970-8	599
1970-9	568
1970-10	577
1970-11	553
1970-12	582
1971-1	600
1971-2	566
1971-3	653
1971-4	673
1971-5	742
1971-6	716
1971-7	660
1971-8	617
1971-9	583
1971-10	587
1971-11	565
1971-12	598
1972-1	628
1972-2	618
1972-3	688
1972-4	705
1972-5	770
1972-6	736
1972-7	678
1972-8	639
1972-9	604
1972-10	611
1972-11	594
1972-12	634
1973-1	658
1973-2	622
1973-3	709
1973-4	722
1973-5	782
1973-6	756
1973-7	702
1973-8	653
1973-9	615
1973-10	621
1973-11	602
1973-12	635
1974-1	677
1974-2	635
1974-3	736
1974-4	755
1974-5	811
1974-6	798
1974-7	735
1974-8	697
1974-9	661
1974-10	667
1974-11	645
1974-12	688
1975-1	713
1975-2	667
1975-3	762
1975-4	784
1975-5	837
1975-6	817
1975-7	767
1975-8	722
1975-9	681
1975-10	687
1975-11	660
1975-12	698
1976-1	717
1976-2	696
1976-3	775
1976-4	796
1976-5	858
1976-6	826
1976-7	783
1976-8	740
1976-9	701
1976-10	706
1976-11	677
1976-12	711
1977-1	734
1977-2	690
1977-3	785
1977-4	805
1977-5	871
1977-6	845
1977-7	801
1977-8	764
1977-9	725
1977-10	723
1977-11	690
1977-12	734
1978-1	750
1978-2	707
1978-3	807
1978-4	824
1978-5	886
1978-6	859
1978-7	819
1978-8	783
1978-9	740
1978-10	747
1978-11	711
1978-12	751
1979-1	804
1979-2	756
1979-3	860
1979-4	878
1979-5	942
1979-6	913
1979-7	869
1979-8	834
1979-9	790
1979-10	800
1979-11	763
1979-12	800
1980-1	826
1980-2	799
1980-3	890
1980-4	900
1980-5	961
1980-6	935
1980-7	894
1980-8	855
1980-9	809
1980-10	810
1980-11	766
1980-12	805
1981-1	821
1981-2	773
1981-3	883
1981-4	898
1981-5	957
1981-6	924
1981-7	881
1981-8	837
1981-9	784
1981-10	791
1981-11	760
1981-12	802
1982-1	828
1982-2	778
1982-3	889
1982-4	902
1982-5	969
1982-6	947
1982-7	908
1982-8	867
1982-9	815
1982-10	812
1982-11	773
1982-12	813
1983-1	834
1983-2	782
1983-3	892
1983-4	903
1983-5	966
1983-6	937
1983-7	896
1983-8	858
1983-9	817
1983-10	827
1983-11	797
1983-12	843
